COMMUNITY0,COMMUNITY1,COMMUNITY2,COMMUNITY3,COMMUNITY4,COMMUNITY5,COMMUNITY6,COMMUNITY7,COMMUNITY8,COMMUNITY9,COMMUNITY10,COMMUNITY11,COMMUNITY12,COMMUNITY13,COMMUNITY14,COMMUNITY15
4932.Q0182,4932.YFL039C,4932.YNL178W,4932.YLL039C,4932.Q0130,4932.YMR105C,4932.YNL031C,4932.YPL178W,4932.YBL076C,4932.YCL029C,4932.YOR272W,4932.YER138W-A,4932.YAR071W,4932.YHL050C,4932.YMR304C-A,4932.YFR035C
4932.Q0143,4932.YFL038C,4932.YJR113C,4932.YIL046W,4932.YJR121W,4932.YMR250W,4932.YBR088C,4932.YER029C,4932.YPL040C,4932.YLR045C,4932.YCL054W,4932.YDR261W-B,4932.YHR215W,4932.YHR218W,4932.YCR013C,4932.YEL043W
4932.Q0032,4932.YLR229C,4932.YGL123W,4932.YOL133W,4932.YOR065W,4932.YCL040W,4932.YAR007C,4932.YMR213W,4932.YOR168W,4932.YEL061C,4932.YMR049C,4932.YJR027W,4932.YML123C,4932.YHL049C,4932.YHR056W-A,4932.YGR089W
4932.Q0017,4932.YFL005W,4932.YJR123W,4932.YDL132W,4932.YBL099W,4932.YNL241C,4932.YDL140C,4932.YKL173W,4932.YGR185C,4932.YPL269W,4932.YGR103W,4932.YDR098C-B,4932.YJR156C,4932.YBL111C,4932.YBL071C,4932.YFR034W-A
4932.Q0010,4932.YAL030W,4932.YHL015W,4932.YDR328C,4932.YMR203W,4932.YML128C,4932.YNL262W,4932.YOR159C,4932.YPR033C,4932.YOL069W,4932.YPL211W,4932.YCR018C-A,4932.YPL214C,4932.YFL066C,4932.YPR136C,None
4932.Q0297,4932.YLR268W,4932.YDR064W,4932.YJR090C,4932.YGL187C,4932.YGR088W,4932.YER095W,4932.YFL017W-A,4932.YPL160W,4932.YDL028C,4932.YDR496C,4932.YLR256W,4932.YGR233C,4932.YLL067C,4932.YMR151W,None
4932.Q0142,4932.YKR031C,4932.YPL131W,4932.YGR232W,4932.YOR232W,4932.YLR178C,4932.YER171W,4932.YLR147C,4932.YPL097W,4932.YJL030W,4932.YNL110C,4932.YDR034C-A,4932.YEL029C,4932.YHR218W-A,4932.YLR163W-A,None
4932.Q0092,4932.YGL206C,4932.YNL081C,4932.YHR200W,4932.YEL024W,4932.YGR248W,4932.YBR160W,4932.YGR074W,4932.YOR335C,4932.YPL018W,4932.YNL061W,4932.YOL106W,4932.YOR143C,4932.YLR462W,4932.YKL165C-A,None
4932.YHR021W-A,4932.YOR327C,4932.YOR063W,4932.YFR004W,4932.YLR259C,4932.YGR043C,4932.YDL164C,4932.YPR182W,4932.YGR264C,4932.YMR117C,4932.YKR081C,4932.YMR158C-A,4932.YBR296C,4932.YHR219W,4932.YAL016C-B,None
None,4932.YPR165W,4932.YOL127W,4932.YKL145W,4932.YNL052W,4932.YOR173W,4932.YML032C,4932.YLR275W,4932.YGR094W,4932.YBR107C,4932.YHR052W,4932.YDR261W-A,4932.YBR093C,4932.YLR466W,4932.YPR044C,None
4932.Q0143,4932.YFL038C,4932.YNL178W,4932.YLL039C,4932.YOR065W,4932.YMR105C,4932.YAR007C,4932.YER029C,4932.YGR094W,4932.YEL061C,4932.YOR272W,4932.YER138W-A,4932.YAR071W,4932.YHR218W,4932.YCR013C,4932.YFR035C
4932.Q0182,4932.YLR268W,4932.YJR123W,4932.YGR232W,4932.Q0130,4932.YCL040W,4932.YBR088C,4932.YOR159C,4932.YBL076C,4932.YLR045C,4932.YGR103W,4932.YDR261W-B,4932.YHR215W,4932.YBL111C,4932.YBL071C,4932.YEL043W
4932.Q0010,4932.YAL030W,4932.YDR064W,4932.YDL132W,4932.YJR121W,4932.YMR250W,4932.YNL262W,4932.YGR074W,4932.YPL160W,4932.YCL029C,4932.YCL054W,4932.YDR098C-B,4932.YBR093C,4932.YHR218W-A,4932.YHR056W-A,4932.YGR089W
4932.Q0032,4932.YOR327C,4932.YHL015W,4932.YHR200W,4932.YBL099W,4932.YGR248W,4932.YDL164C,4932.YLR147C,4932.YGR185C,4932.YOL069W,4932.YMR049C,4932.YJR027W,4932.YML123C,4932.YFL066C,4932.YLR163W-A,4932.YFR034W-A
4932.Q0017,4932.YNL287W,4932.YGL123W,4932.YFR004W,4932.YGL187C,4932.YML128C,4932.YNL312W,4932.YPR182W,4932.YIL078W,4932.YPL269W,4932.YKR081C,4932.YLR256W,4932.YGR233C,4932.YHL050C,4932.YKL165C-A,None
4932.Q0297,4932.YFL005W,4932.YOL040C,4932.YDR328C,4932.YNL052W,4932.YLR178C,4932.YER171W,4932.YLR275W,4932.YDR023W,4932.YDL028C,4932.YOR206W,4932.YCR018C-A,4932.YDR481C,4932.YLL067C,4932.YMR151W,None
4932.Q0142,4932.YDR238C,4932.YML026C,4932.YKL145W,4932.YEL024W,4932.YOR173W,4932.YDL140C,4932.YFL017W-A,4932.YDR037W,4932.YPL018W,4932.YDR496C,4932.YDR034C-A,4932.YBR092C,4932.YJL225C,4932.YPR136C,None
4932.Q0092,4932.YGR284C,4932.YPL131W,4932.YGL048C,4932.YMR203W,4932.YGR043C,4932.YPR175W,4932.YKL173W,4932.YGR264C,4932.YJL030W,4932.YHR052W,4932.YMR158C-A,4932.YPL214C,4932.YHL049C,4932.YAL016C-B,None
4932.YHR021W-A,4932.YPR181C,4932.YOL127W,4932.YHR027C,4932.YPR191W,4932.YGR088W,4932.YJR068W,4932.YPL213W,4932.YNL073W,4932.YPL209C,4932.YNL110C,4932.YCL019W,4932.YOR143C,4932.YLR462W,4932.YMR304C-A,None
None,4932.YLR208W,4932.YCR031C,4932.YOR117W,4932.YLR038C,4932.YGR008C,4932.YBR087W,4932.YMR288W,4932.YOR335C,4932.YBR107C,4932.YOL077C,4932.YDR261W-A,4932.YBR296C,4932.YHR219W,4932.YNL319W,None
4932.Q0143,4932.YCR038C,4932.YPR080W,4932.YLR199C,4932.YGR281W,4932.YKL211C,4932.YKL114C,4932.YOR253W,4932.YIL054W,4932.YHR184W,4932.YDR165W,4932.YER138W-A,4932.YJR156C,4932.YHL048W,4932.YHR056W-A,4932.YFR035C
4932.Q0182,4932.YML121W,4932.YBR118W,4932.YKL206C,4932.YOR153W,4932.YPR060C,4932.YBL019W,4932.YPR051W,4932.YNL140C,4932.YOL091W,4932.YNL151C,4932.YDR261W-B,4932.YFL058W,4932.YBL044W,4932.YBL071C,4932.YEL043W
4932.Q0017,4932.YGR163W,4932.YJL138C,4932.YDL100C,4932.YBL005W,4932.YGL202W,4932.YAL015C,4932.YPR131C,4932.YLR358C,4932.YDR273W,4932.YDL150W,4932.YDR098C-B,4932.YOR143C,4932.YML132W,4932.YCR013C,4932.YGR089W
4932.Q0032,4932.YIL140W,4932.YLR249W,4932.YDR066C,4932.YDR011W,4932.YGL148W,4932.YML060W,4932.YOL076W,4932.YHR173C,4932.YOR177C,4932.YNR003C,4932.YJR027W,4932.YDL244W,4932.YBR302C,4932.YPR136C,4932.YFR034W-A
4932.Q0010,4932.YGR152C,4932.YNL209W,4932.YDR056C,4932.YGL013C,4932.YDR127W,4932.YBL003C,4932.YHR013C,4932.YNL184C,4932.YDL239C,4932.YBL014C,4932.YCR018C-A,4932.YPL214C,4932.YNL336W,4932.YMR151W,None
4932.Q0297,4932.YKL092C,4932.YKR059W,4932.YKL207W,4932.YDR406W,4932.YCL009C,4932.YDR096W,4932.YEL053C,4932.YOR105W,4932.YOL015W,4932.YJL025W,4932.YLR256W,4932.YNL332W,4932.YJR161C,4932.YKL165C-A,None
4932.Q0142,4932.YDR128W,4932.YPL243W,4932.YGL020C,4932.YJL219W,4932.YFR017C,4932.YER169W,4932.YDL040C,4932.YER084W,4932.YLR341W,4932.YKL125W,4932.YDR034C-A,4932.YOL055C,4932.YFL062W,4932.YAL016C-B,None
4932.Q0092,4932.YOR301W,4932.YOL139C,4932.YDR067C,4932.YOL156W,4932.YBR249C,4932.YMR224C,4932.YMR069W,4932.YNL143C,4932.YGL170C,4932.YDR465C,4932.YMR158C-A,4932.YPL258C,4932.YDL248W,4932.YLR163W-A,None
4932.YHR021W-A,4932.YLR084C,4932.YML105C,4932.YOR164C,4932.YDR072C,4932.YPR167C,4932.YOL043C,4932.YCR020C-A,4932.YJR146W,4932.YGR147C,4932.YBL039C,4932.YDR261W-A,4932.YEL029C,4932.YBR144C,4932.YNL319W,None
None,4932.YLR353W,4932.YDL092W,4932.YPL144W,4932.YNL318C,4932.YGR267C,4932.YBR274W,4932.YPR178W,4932.YPR089W,4932.YGR146C-A,4932.YDL201W,4932.YCL019W,4932.YGR144W,4932.YIR040C,4932.YBR191W-A,None
4932.Q0143,4932.YFL039C,4932.YGL123W,4932.YLL039C,4932.Q0130,4932.YMR105C,4932.YNL031C,4932.YPL178W,4932.YBL076C,4932.YCL029C,4932.YOR272W,4932.YER138W-A,4932.YJR156C,4932.YHL050C,4932.YGL102C,4932.YFR035C
4932.Q0182,4932.YLR229C,4932.YJR113C,4932.YDL132W,4932.YJR121W,4932.YMR250W,4932.YBR160W,4932.YMR213W,4932.YOR168W,4932.YLR045C,4932.YGR103W,4932.YDR261W-B,4932.YEL029C,4932.YHL049C,4932.YGR182C,4932.YEL043W
4932.Q0017,4932.YFL038C,4932.YNL178W,4932.YOL133W,4932.YOR065W,4932.YML128C,4932.YDL140C,4932.YER029C,4932.YPR033C,4932.YEL061C,4932.YCL054W,4932.YJR027W,4932.YAR071W,4932.YHR218W,4932.YPR044C,4932.YFR034W-A
4932.Q0032,4932.YKR031C,4932.YPL131W,4932.YIL046W,4932.YBL099W,4932.YLR178C,4932.YBR088C,4932.YFL017W-A,4932.YGR185C,4932.YPL269W,4932.YPL211W,4932.YDR098C-B,4932.YHR215W,4932.YFL066C,4932.YLL044W,4932.YGR089W
4932.Q0010,4932.YDR477W,4932.YKL170W,4932.YJR090C,4932.YMR203W,4932.YCL040W,4932.YAR007C,4932.YKL173W,4932.YGL105W,4932.YDL028C,4932.YPL043W,4932.YCR018C-A,4932.YML123C,4932.YBL111C,4932.YHR063W-A,None
4932.Q0297,4932.YFL005W,4932.YGR118W,4932.YDR328C,4932.YGL187C,4932.YGR088W,4932.YER095W,4932.YLR147C,4932.YGL245W,4932.YOL069W,4932.YMR049C,4932.YDR034C-A,4932.YPL214C,4932.YLL067C,4932.YLR062C,None
4932.Q0142,4932.YAL030W,4932.YJR123W,4932.YGR232W,4932.YOR232W,4932.YNL241C,4932.YNL262W,4932.YOR159C,4932.YGR264C,4932.YBR107C,4932.YNL061W,4932.YLR256W,4932.YBR035C,4932.YHR219W,4932.YMR304C-A,None
4932.Q0092,4932.YPR165W,4932.YDR064W,4932.YER125W,4932.YEL024W,4932.YGR248W,4932.YML032C,4932.YGR074W,4932.YOR335C,4932.YJL030W,4932.YOL077C,4932.YOL106W,4932.YFL058W,4932.YFL067W,4932.YLR125W,None
4932.YHR021W-A,4932.YLR113W,4932.YHL015W,4932.YDR139C,4932.YGL071W,4932.YKL211C,4932.YER148W,4932.YLR275W,4932.YPL040C,4932.YMR117C,4932.YDR496C,4932.YDR261W-A,4932.YOL055C,4932.YHR218W-A,4932.YCR013C,None
None,4932.YLR268W,4932.YOL127W,4932.YHR200W,4932.YLR259C,4932.YGR043C,4932.YDL164C,4932.YPR182W,4932.YLR382C,4932.YPL209C,4932.YNL110C,4932.YCL019W,4932.YIR020C,4932.YNL339C,4932.YBR113W,None
4932.Q0182,4932.YFL039C,4932.YJR113C,4932.YJR090C,4932.YER154W,4932.YMR250W,4932.YBR160W,4932.YMR213W,4932.YGR102C,4932.YNL225C,4932.YPL086C,4932.YER138W-A,4932.YDR089W,4932.YFL067W,4932.YCR013C,4932.YFR035C
4932.Q0143,4932.YKR031C,4932.YKL170W,4932.YLL039C,4932.Q0130,4932.YMR105C,4932.YNL031C,4932.YPL178W,4932.YNL184C,4932.YPL269W,4932.YDR465C,4932.YDR261W-B,4932.YLR456W,4932.YHL049C,4932.YKL153W,4932.YEL043W
4932.Q0032,4932.YLR229C,4932.YMR146C,4932.YIL046W,4932.YLL009C,4932.YNL241C,4932.YDL140C,4932.YGR178C,4932.YBL080C,4932.YLR045C,4932.YOR272W,4932.YJR027W,4932.YDR124W,4932.YKL223W,4932.YDL228C,4932.YGR089W
4932.Q0017,4932.YDR477W,4932.YGR220C,4932.YER125W,4932.YJR121W,4932.YKL211C,4932.YLR399C,4932.YCR093W,4932.YPR033C,4932.YHR184W,4932.YNL062C,4932.YCR018C-A,4932.YOR143C,4932.YHL050C,4932.YAL004W,4932.YFR034W-A
4932.Q0010,4932.YFL038C,4932.YPR100W,4932.YDR054C,4932.YDL120W,4932.YGR088W,4932.YER148W,4932.YJL080C,4932.YLR382C,4932.YOL015W,4932.YPL043W,4932.YDR034C-A,4932.YCR020C,4932.YHR213W,4932.YBR113W,None
4932.YHR021W-A,4932.YBL105C,4932.YNL081C,4932.YOL133W,4932.YBL005W,4932.YDR050C,4932.YML032C,4932.YHR015W,4932.YDL025C,4932.YCL029C,4932.YGR103W,4932.YDR098C-B,4932.YAR071W,4932.YKL225W,4932.YMR304C-A,None
4932.Q0297,4932.YLR113W,4932.YGL123W,4932.YDL132W,4932.YLR304C,4932.YGL037C,4932.YBR136W,4932.YER029C,4932.YGL245W,4932.YBR107C,4932.YML043C,4932.YOL106W,4932.YCR019W,4932.YHL046C,4932.YLL044W,None
4932.Q0142,4932.YNL098C,4932.YPL131W,4932.YOR007C,4932.YMR058W,4932.YLR377C,4932.YPL129W,4932.YDL160C,4932.YGR150C,4932.YLR341W,4932.YJR129C,4932.YMR158C-A,4932.YOL055C,4932.YKL224C,4932.YDR417C,None
4932.Q0092,4932.YBR109C,4932.YNL178W,4932.YMR022W,4932.YOR232W,4932.YGL026C,4932.YDR155C,4932.YLR347C,4932.YBL076C,4932.YKL042W,4932.YJL050W,4932.YLR256W,4932.YPL214C,4932.YIR040C,4932.YLR339C,None
None,4932.YHR205W,4932.YLR312W-A,4932.YGR048W,4932.YGL008C,4932.YER069W,4932.YHL022C,4932.YHR086W,4932.YMR293C,4932.YEL061C,4932.YBR034C,4932.YGR109W-A,4932.YHR215W,4932.YFL066C,4932.YLR112W,None
